id_periodo,anio,numero_semana,fecha_inicio,fecha_fin
243,2004,34,2004-08-22,2004-08-28
244,2004,35,2004-08-29,2004-09-04
245,2004,36,2004-09-05,2004-09-11
246,2004,37,2004-09-12,2004-09-18
247,2004,38,2004-09-19,2004-09-25
248,2004,39,2004-09-26,2004-10-02
249,2004,40,2004-10-03,2004-10-09
250,2004,41,2004-10-10,2004-10-16
251,2004,42,2004-10-17,2004-10-23
252,2004,43,2004-10-24,2004-10-30
253,2004,44,2004-10-31,2004-11-06
254,2004,45,2004-11-07,2004-11-13
255,2004,46,2004-11-14,2004-11-20
256,2004,47,2004-11-21,2004-11-27
257,2004,48,2004-11-28,2004-12-04
258,2004,49,2004-12-05,2004-12-11
259,2004,50,2004-12-12,2004-12-18
260,2004,51,2004-12-19,2004-12-25
261,2004,52,2004-12-26,2005-01-01
262,2005,1,2005-01-02,2005-01-08
263,2005,2,2005-01-09,2005-01-15
264,2005,3,2005-01-16,2005-01-22
265,2005,4,2005-01-23,2005-01-29
266,2005,5,2005-01-30,2005-02-05
267,2005,6,2005-02-06,2005-02-12
268,2005,7,2005-02-13,2005-02-19
269,2005,8,2005-02-20,2005-02-26
270,2005,9,2005-02-27,2005-03-05
271,2005,10,2005-03-06,2005-03-12
272,2005,11,2005-03-13,2005-03-19
273,2005,12,2005-03-20,2005-03-26
274,2005,13,2005-03-27,2005-04-02
275,2005,14,2005-04-03,2005-04-09
276,2005,15,2005-04-10,2005-04-16
277,2005,16,2005-04-17,2005-04-23
278,2005,17,2005-04-24,2005-04-30
279,2005,18,2005-05-01,2005-05-07
280,2005,19,2005-05-08,2005-05-14
281,2005,20,2005-05-15,2005-05-21
282,2005,21,2005-05-22,2005-05-28
283,2005,22,2005-05-29,2005-06-04
284,2005,23,2005-06-05,2005-06-11
285,2005,24,2005-06-12,2005-06-18
286,2005,25,2005-06-19,2005-06-25
287,2005,26,2005-06-26,2005-07-02
288,2005,27,2005-07-03,2005-07-09
289,2005,28,2005-07-10,2005-07-16
290,2005,29,2005-07-17,2005-07-23
291,2005,30,2005-07-24,2005-07-30
292,2005,31,2005-07-31,2005-08-06
293,2005,32,2005-08-07,2005-08-13
294,2005,33,2005-08-14,2005-08-20
295,2005,34,2005-08-21,2005-08-27
296,2005,35,2005-08-28,2005-09-03
297,2005,36,2005-09-04,2005-09-10
298,2005,37,2005-09-11,2005-09-17
299,2005,38,2005-09-18,2005-09-24
300,2005,39,2005-09-25,2005-10-01
301,2005,40,2005-10-02,2005-10-08
302,2005,41,2005-10-09,2005-10-15
303,2005,42,2005-10-16,2005-10-22
304,2005,43,2005-10-23,2005-10-29
305,2005,44,2005-10-30,2005-11-05
306,2005,45,2005-11-06,2005-11-12
307,2005,46,2005-11-13,2005-11-19
308,2005,47,2005-11-20,2005-11-26
309,2005,48,2005-11-27,2005-12-03
310,2005,49,2005-12-04,2005-12-10
311,2005,50,2005-12-11,2005-12-17
312,2005,51,2005-12-18,2005-12-24
313,2005,52,2005-12-25,2005-12-31
314,2006,1,2006-01-01,2006-01-07
315,2006,2,2006-01-08,2006-01-14
316,2006,3,2006-01-15,2006-01-21
317,2006,4,2006-01-22,2006-01-28
318,2006,5,2006-01-29,2006-02-04
319,2006,6,2006-02-05,2006-02-11
320,2006,7,2006-02-12,2006-02-18
321,2006,8,2006-02-19,2006-02-25
322,2006,9,2006-02-26,2006-03-04
323,2006,10,2006-03-05,2006-03-11
324,2006,11,2006-03-12,2006-03-18
325,2006,12,2006-03-19,2006-03-25
326,2006,13,2006-03-26,2006-04-01
327,2006,14,2006-04-02,2006-04-08
328,2006,15,2006-04-09,2006-04-15
329,2006,16,2006-04-16,2006-04-22
330,2006,17,2006-04-23,2006-04-29
331,2006,18,2006-04-30,2006-05-06
332,2006,19,2006-05-07,2006-05-13
333,2006,20,2006-05-14,2006-05-20
